codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
154008,CAMIONES- VOLQUETAS Y FURGONES,ACT,debit,4,1540,No,Si
15400801,Camiones- Volquetas Y Furgones,ACT,debit,5,154008,Si,Si
154010,TRACTOMULAS Y REMOLQUES,ACT,debit,4,1540,No,Si
15401001,Tractomulas Y Remolques,ACT,debit,5,154010,Si,Si
154015,BUSES Y BUSETAS,ACT,debit,4,1540,No,Si
15401501,Buses Y Busetas,ACT,debit,5,154015,Si,Si
154017,RECOLECTORES Y CONTENEDORES,ACT,debit,4,1540,No,Si
15401701,Recolectores Y Contenedores,ACT,debit,5,154017,Si,Si
154020,MONTACARGAS,ACT,debit,4,1540,No,Si
15402001,Montacargas,ACT,debit,5,154020,Si,Si
154025,PALAS Y GRUAS,ACT,debit,4,1540,No,Si
15402501,Palas Y Gruas,ACT,debit,5,154025,Si,Si
154030,MOTOCICLETAS,ACT,debit,4,1540,No,Si
15403001,Motocicletas,ACT,debit,5,154030,Si,Si
154035,BICICLETAS,ACT,debit,4,1540,No,Si
15403501,Bicicletas,ACT,debit,5,154035,Si,Si
154040,ESTIBAS Y CARRETAS,ACT,debit,4,1540,No,Si
15404001,Estibas Y Carretas,ACT,debit,5,154040,Si,Si
154045,BANDAS TRANSPORTADORAS,ACT,debit,4,1540,No,Si
15404501,Bandas Transportadoras,ACT,debit,5,154045,Si,Si
154095,OTROS,ACT,debit,4,1540,No,Si
15409501,Otros,ACT,debit,5,154095,Si,Si
1544,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,ACT,debit,3,15,No,Si
154405,BUQUES,ACT,debit,4,1544,No,Si
15440501,Buques,ACT,debit,5,154405,Si,Si
154410,LANCHAS,ACT,debit,4,1544,No,Si
15441001,Lanchas,ACT,debit,5,154410,Si,Si
154415,REMOLCADORAS,ACT,debit,4,1544,No,Si
15441501,Remolcadoras,ACT,debit,5,154415,Si,Si
154420,BOTES,ACT,debit,4,1544,No,Si
15442001,Botes,ACT,debit,5,154420,Si,Si
154425,BOYAS,ACT,debit,4,1544,No,Si
15442501,Boyas,ACT,debit,5,154425,Si,Si
154430,AMARRES,ACT,debit,4,1544,No,Si
15443001,Amarres,ACT,debit,5,154430,Si,Si
154435,CONTENEDORES Y CHASISES,ACT,debit,4,1544,No,Si
15443501,Contenedores Y Chasises,ACT,debit,5,154435,Si,Si
154440,GABARRAS,ACT,debit,4,1544,No,Si
15444001,Gabarras,ACT,debit,5,154440,Si,Si
154495,OTROS,ACT,debit,4,1544,No,Si
15449501,Otros,ACT,debit,5,154495,Si,Si
1548,FLOTA Y EQUIPO AEREO,ACT,debit,3,15,No,Si
154805,AVIONES,ACT,debit,4,1548,No,Si
15480501,Aviones,ACT,debit,5,154805,Si,Si
154810,AVIONETAS,ACT,debit,4,1548,No,Si
15481001,Avionetas,ACT,debit,5,154810,Si,Si
154815,HELICOPTEROS,ACT,debit,4,1548,No,Si
15481501,Helicopteros,ACT,debit,5,154815,Si,Si
154820,TURBINAS Y MOTORES,ACT,debit,4,1548,No,Si
15482001,Turbinas Y Motores,ACT,debit,5,154820,Si,Si
154825,MANUALES DE ENTRENAMIENTO PERSONAL TECNICO,ACT,debit,4,1548,No,Si
15482501,Manuales De Entrenamiento Personal Tecnico,ACT,debit,5,154825,Si,Si
154830,EQUIPOS DE VUELO,ACT,debit,4,1548,No,Si
15483001,Equipos De Vuelo,ACT,debit,5,154830,Si,Si
154895,OTROS,ACT,debit,4,1548,No,Si
15489501,Otros,ACT,debit,5,154895,Si,Si
1552,FLOTA Y EQUIPO FERREO,ACT,debit,3,15,No,Si
155205,LOCOMOTORAS,ACT,debit,4,1552,No,Si
15520501,Locomotoras,ACT,debit,5,155205,Si,Si
155210,VAGONES,ACT,debit,4,1552,No,Si
15521001,Vagones,ACT,debit,5,155210,Si,Si
155215,REDES FERREAS,ACT,debit,4,1552,No,Si
15521501,Redes Ferreas,ACT,debit,5,155215,Si,Si
155295,OTROS,ACT,debit,4,1552,No,Si
15529501,Otros,ACT,debit,5,155295,Si,Si
1556,ACUEDUCTOS- PLANTAS Y REDES,ACT,debit,3,15,No,Si
155605,INSTALACIONES PARA AGUA Y ENERGIA,ACT,debit,4,1556,No,Si
15560501,Instalaciones Para Agua Y Energia,ACT,debit,5,155605,Si,Si
155610,ACUEDUCTO- ACEQUIAS Y CANALIZACIONES,ACT,debit,4,1556,No,Si
15561001,Acueducto- Acequias Y Canalizaciones,ACT,debit,5,155610,Si,Si
155615,PLANTAS DE GENERACION HIDRAULICA,ACT,debit,4,1556,No,Si
15561501,Plantas De Generacion Hidraulica,ACT,debit,5,155615,Si,Si
155620,PLANTAS DE GENERACION TERMICA,ACT,debit,4,1556,No,Si
15562001,Plantas De Generacion Termica,ACT,debit,5,155620,Si,Si
155625,PLANTAS DE GENERACION A GAS,ACT,debit,4,1556,No,Si
15562501,Plantas De Generacion A Gas,ACT,debit,5,155625,Si,Si
155628,PLANTAS DE GENERACION DIESEL- GASOLINA Y PETROLEO,ACT,debit,4,1556,No,Si
15562801,Plantas De Generacion Diesel- Gasolina Y Petroleo,ACT,debit,5,155628,Si,Si
155630,PLANTAS DE DISTRIBUCION,ACT,debit,4,1556,No,Si
15563001,Plantas De Distribucion,ACT,debit,5,155630,Si,Si
155635,PLANTAS DE TRANSMISION Y SUBESTACIONES,ACT,debit,4,1556,No,Si
15563501,Plantas De Transmision Y Subestaciones,ACT,debit,5,155635,Si,Si
155640,OLEODUCTOS,ACT,debit,4,1556,No,Si
15564001,Oleoductos,ACT,debit,5,155640,Si,Si
155645,GASODUCTOS,ACT,debit,4,1556,No,Si
15564501,Gasoductos,ACT,debit,5,155645,Si,Si
155647,POLIDUCTOS,ACT,debit,4,1556,No,Si
15564701,Poliductos,ACT,debit,5,155647,Si,Si
155650,REDES DE DISTRIBUCION,ACT,debit,4,1556,No,Si
15565001,Redes De Distribucion,ACT,debit,5,155650,Si,Si
